character,해리 포터
character,론 위즐리
character,헤르미온느 그레인저
character,프레드 위즐리
character,조지 위즐리
character,퍼시 위즐리
character,지니 위즐리
character,네빌 롱보텀
character,셰이머스 피니건
character,딘 토머스
character,리 조던
character,올리버 우드
character,릴리 루나 포터
character,제임스 시리우스 포터
character,세드릭 디고리
character,루나 러브굿
character,초 챙
character,드레이코 말포이
character,빈센트 크래브
character,그레고리 고일
character,알버스 세베루스 포터
character,알버스 덤블도어
character,세베루스 스네이프
character,루베우스 해그리드
character,미네르바 맥고나걸
character,돌로레스 엄브릿지
character,리무스 루핀
character,애버포스 덤블도어
character,앨러스터 무디
character,엘피아스 도지
character,시리우스 블랙
character,제임스 포터 
character,릴리 포터
character,아서 위즐리
character,몰리 위즐리 
character,빌 위즐리 
character,찰리 위즐리 
character,님파도라 통스
character,킹슬리 샤클볼트 
character,먼덩거스 플레처
character,코넬리우스 퍼지
character,플뢰르 들라쿠르
character,빅터 크룸
character,볼드모트 
character,레귤러스 악튜러스 블랙
character,나시사 말포이
character,루시우스 말포이
character,바티 크라우치 주니어
character,바티 크라우치 
character,벨라트릭스 레스트랭
character,피터 페티그루 
character,안토닌 돌로호브
place,그리핀도르 기숙사 휴게실
place,슬리데린 기숙사 휴게실
place,후플푸프 기숙사 휴게실
place,래번클로 기숙사 휴게실
place,호그와트 연회장  
place,호그와트 교장실
place,슬러그혼의 사무실
place,점성술 교실
place,어둠의 마법 방어술 교실
place,마법의 약 교실
place,엄브릿지의 사무실
place,스네이프의 사무실
place,비밀의 방
place,반장들의 욕실
place,필요의 방
place,금지된 숲
place,퀴디치 경기장
place,호그와트 병동
place,호그와트 도서관
place,호그와트 선착장
place,호그와트 온실
place,호그와트 천문탑
place,해그리드의 오두막
place,검은 호수
place,고드릭 골짜기
place,아즈카반
place,그린고트 
place,올리밴더스
place,리키 콜드런
place,위즐리 형제의 신기한 장난감 가게
place,보진과 버크가게
place,신비한 동물 단속 및 관리부
place,미스터리부
place,허니듀크
place,호그스 헤드
place,비명을 지르는 오두막집
place,호그스미드 역
place,킹스 크로스 역 9와 4분의 3 승강장
place,프리빗가 4번지
place,부엉이 우체국
food,호박 주스
food,버터 맥주
food,민달팽이 젤리
food,꿀술
food,구토 사탕
food,바퀴벌레 과자
food,코피 누가
food,딸국질 사탕
food,발열 사탕
food,피맛 사탕
food,감초 사탕
food,파이어위스키
food,구토맛 젤리
food,귀지맛 젤리
food,코딱지맛 젤리
food,흙맛 젤리
food,양말맛 젤리
food,개구리 초콜릿
food,호박 파이
food,허니 듀크의 초콜릿
creature,드래곤
creature,히포그리프
creature,니플러
creature,불사조
creature,픽시
creature,트롤
creature,유니콘
creature,바실리스크
creature,애크로맨투라
creature,보가트
creature,켄타우로스
creature,디멘터
creature,유령
creature,세스트랄
spell,아씨오
spell,아구아멘티
spell,알로호모라
spell,아바다 케다브라
spell,아센디오
spell,아레스토 모멘텀
spell,봄바르다
spell,콘프링고
spell,크루시오
spell,디핀도
spell,에피스키
spell,에렉토
spell,잉고르지오
spell,익스펙토 패트로눔
spell,엑스펠리아르무스
spell,피니트 인칸타템
spell,이모불루스
spell,임페리오
spell,인센디오
spell,레비코푸스
spell,레질리먼시
spell,루모스
spell,녹스
spell,오블리비아테
spell,오큘러스 레파로
spell,오클루먼시
spell,프로테고
spell,프로테고 맥시마
spell,리덕토
spell,레파로
spell,리디큘러스
spell,살비오 헥시아
spell,스투페파이
spell,섹튬셈프라
spell,베라 베르토
spell,윙가르디움 레비오우사
item,그리핀도르의 검
item,예언자 일보
item,이러쿵 저러쿵 잡지
item,소망의 거울
item,적을 비추는 거울
item,속기 깃펜
item,호그와트 비밀지도
item,딜루미네이터
item,리멤브럴
item,마법사의 돌
item,지팡이
item,망토
item,빗자루
item,사라지는 캐비닛
item,타임 터너
item,마법의 불꽃놀이
item,딱총나무 지팡이
item,부활의 돌
item,투명 망토
item,펜시브
item,포트키
item,플루 가루
item,하울러
item,호크룩스
